"date","precip_in","snowfall_in","temp_min_degF","temp_max_degF","windspeed_avg_mph"
2014-03-30,0.35039389,0,39.02,48.92,10.06623
2014-03-31,0.16141741,0,35.96,55.94,8.276678
2014-04-01,0,0,39.02,60.08,4.697574
2014-04-02,0,0,42.08,53.96,2.013246
2014-04-03,0.07086618,0,46.04,66.92,3.802798
2014-04-04,0.20866153,0,39.92,46.94,8.500372
2014-04-05,0,0,39.92,53.96,8.500372
2014-04-06,0,0,35.96,60.98,4.250186
2014-04-07,0.51968532,0,42.98,53.06,6.039738
2014-04-08,0.33858286,0,46.04,64.04,6.934514
2014-04-09,0,0,44.96,60.98,6.934514
2014-04-10,0,0,42.08,57.92,6.934514
2014-04-11,0,0,55.94,75.02,5.816044
2014-04-12,0,0,50,73.04,4.250186
2014-04-13,0,0,53.96,77,5.816044
2014-04-14,0,0,59,75.02,7.381902
2014-04-15,0.7086618,0,33.08,62.96,8.724066
2014-04-16,0.05118113,0,31.1,48.92,7.605596
2014-04-17,0,0,35.96,48.02,7.82929
2014-04-18,0,0,35.06,48.92,5.368656
2014-04-19,0,0,41,68,5.59235
2014-04-20,0,0,44.96,60.08,6.263432
2014-04-21,0,0,41,66.92,4.250186
2014-04-22,0.01181103,0,51.08,71.06,5.59235
2014-04-23,0,0,44.06,60.98,9.395148
2014-04-24,0,0,42.08,62.06,8.500372
2014-04-25,0.01968505,0,44.06,62.96,4.921268
2014-04-26,0.92126034,0,46.04,66.92,5.368656
2014-04-27,0,0,46.94,59,5.816044
2014-04-28,0,0,44.96,66.92,4.250186
2014-04-29,0.03149608,0,42.98,51.98,8.94776
2014-04-30,4.96850662,0,41,51.98,8.276678
2014-05-01,0.1181103,0,51.08,78.08,4.47388
2014-05-02,0,0,55.94,69.98,4.47388
2014-05-03,0.0787402,0,53.96,71.06,3.35541
2014-05-04,0.01968505,0,53.96,64.94,8.276678
2014-05-05,0,0,50,69.98,7.381902
2014-05-06,0,0,51.98,71.06,3.802798
2014-05-07,0,0,50,69.08,4.026492
2014-05-08,0.40944904,0,53.06,59,4.47388
2014-05-09,0.0393701,0,55.04,62.96,3.131716
2014-05-10,0.37007894,0,57.02,82.94,4.47388
2014-05-11,0.03149608,0,60.08,82.04,3.131716
2014-05-12,0,0,64.04,84.92,1.789552
2014-05-13,0,0,53.06,73.04,7.158208
2014-05-14,0.01181103,0,51.98,71.06,4.697574
2014-05-15,0.14960638,0,57.92,71.06,5.368656
2014-05-16,1.53937091,0,57.92,68,6.487126
2014-05-17,0,0,53.06,69.98,4.921268
2014-05-18,0,0,51.08,66.92,5.816044
2014-05-19,0,0,48.92,71.96,4.697574
2014-05-20,0,0,53.06,78.08,3.131716
2014-05-21,0,0,62.96,73.94,2.460634
2014-05-22,0.24015761,0,59,66.92,3.131716
2014-05-23,0.90944931,0,55.94,71.06,4.250186
2014-05-24,0.40157502,0,57.02,69.98,3.579104
2014-05-25,0,0,55.04,80.06,2.013246
2014-05-26,0,0,66.02,86,4.921268
2014-05-27,0,0,64.04,86,4.250186
2014-05-28,0,0,53.96,64.04,7.605596
2014-05-29,0,0,51.08,66.02,4.250186
2014-05-30,0,0,55.04,75.02,2.460634
