"date","num_accidents","num_injuries","num_deaths"
2014-08-04,588,176,0
2014-08-05,606,174,1
2014-08-06,562,120,1
2014-08-07,585,156,0
2014-08-08,601,162,0
2014-08-09,538,152,0
2014-08-10,512,166,0
2014-08-11,604,144,0
2014-08-12,491,126,1
2014-08-13,571,155,1
2014-08-14,624,162,0
2014-08-15,522,99,1
2014-08-16,490,143,0
2014-08-17,476,154,1
2014-08-18,595,128,2
2014-08-19,516,134,0
2014-08-20,551,123,0
2014-08-21,567,147,0
2014-08-22,568,157,0
2014-08-23,454,132,0
2014-08-24,437,134,1
2014-08-25,549,129,0
2014-08-26,608,158,0
2014-08-27,538,133,1
2014-08-28,618,149,3
2014-08-29,630,155,2
2014-08-30,510,125,2
2014-08-31,495,148,0
2014-09-01,392,121,1
2014-09-02,700,144,0
2014-09-03,580,148,1
2014-09-04,727,152,2
2014-09-05,647,134,1
2014-09-06,553,138,0
2014-09-07,477,147,3
2014-09-08,597,135,0
2014-09-09,591,135,0
2014-09-10,618,157,1
2014-09-11,619,131,0
2014-09-12,729,214,4
2014-09-13,558,165,0
2014-09-14,526,155,0
2014-09-15,609,143,0
2014-09-16,613,153,1
2014-09-17,658,158,1
2014-09-18,649,177,3
2014-09-19,647,143,0
2014-09-20,594,159,0
2014-09-21,515,166,1
2014-09-22,661,176,1
2014-09-23,592,135,2
2014-09-24,565,106,0
2014-09-25,490,108,2
2014-09-26,643,175,0
2014-09-27,600,175,0
2014-09-28,512,144,3
2014-09-29,565,123,0
2014-09-30,589,147,1
2014-10-01,559,133,1
2014-10-02,558,115,0
2014-10-03,719,230,1
2014-10-04,531,157,0
2014-10-05,505,150,0
2014-10-06,639,152,1
2014-10-07,620,184,1
2014-10-08,639,150,1
2014-10-09,499,121,0
2014-10-10,541,130,1
2014-10-11,546,181,0
2014-10-12,473,161,1
2014-10-13,451,138,0
2014-10-14,695,177,1
2014-10-15,575,143,0
2014-10-16,602,175,0
2014-10-17,648,162,3
2014-10-18,493,163,0
2014-10-19,483,160,0
2014-10-20,591,136,1
2014-10-21,607,132,0
2014-10-22,708,191,0
2014-10-23,639,151,1
2014-10-24,669,156,1
2014-10-25,515,139,0
2014-10-26,515,134,2
2014-10-27,642,184,0
2014-10-28,571,114,0
2014-10-29,554,143,2
2014-10-30,626,116,2
2014-10-31,668,142,0
2014-11-01,656,202,1
2014-11-02,532,136,0
2014-11-03,625,157,3
2014-11-04,538,127,2
2014-11-05,554,150,1
2014-11-06,652,153,1
2014-11-07,641,171,0
2014-11-08,543,132,2
2014-11-09,419,101,1
2014-11-10,560,136,0
2014-11-11,493,123,0
2014-11-12,546,161,1
2014-11-13,696,159,3
2014-11-14,651,164,0
2014-11-15,529,142,1
2014-11-16,429,114,0
2014-11-17,666,167,1
2014-11-18,711,149,0
2014-11-19,633,141,1
2014-11-20,634,113,2
2014-11-21,676,162,0
2014-11-22,511,170,0
2014-11-23,425,129,0
2014-11-24,722,155,3
2014-11-25,599,125,1
2014-11-26,742,185,0
2014-11-27,378,127,0
2014-11-28,444,117,0
2014-11-29,394,93,1
2014-11-30,377,81,1
2014-12-01,644,144,0
2014-12-02,611,135,1
2014-12-03,569,128,1
2014-12-04,606,161,0
2014-12-05,671,182,1
2014-12-06,628,165,0
2014-12-07,493,136,1
2014-12-08,578,114,0
2014-12-09,645,154,1
2014-12-10,649,165,0
2014-12-11,668,151,0
2014-12-12,687,148,0
2014-12-13,594,138,1
2014-12-14,436,130,1
2014-12-15,720,166,0
2014-12-16,645,170,1
2014-12-17,554,138,1
2014-12-18,620,121,0
2014-12-19,652,157,0
2014-12-20,505,113,0
2014-12-21,409,87,0
2014-12-22,566,110,1
2014-12-23,732,172,1
2014-12-24,519,139,0
2014-12-25,303,92,0
2014-12-26,446,86,0
2014-12-27,405,126,0
2014-12-28,349,113,0
2014-12-29,411,104,1
2014-12-30,468,86,0
2014-12-31,460,95,1
2015-01-01,395,130,1
2015-01-02,442,93,0
2015-01-03,456,137,1
2015-01-04,380,109,1
2015-01-05,498,144,2
2015-01-06,776,142,0
2015-01-07,538,151,0
2015-01-08,573,117,0
2015-01-09,751,153,2
