"date","offense","num_felonies"
2015-06-20,"BURGLARY",36
2015-06-20,"FELONY ASSAULT",86
2015-06-20,"GRAND LARCENY",106
2015-06-20,"GRAND LARCENY OF MOTOR VEHICLE",13
2015-06-20,"MURDER & NON-NEGL. MANSLAUGHTE",1
2015-06-20,"RAPE",4
2015-06-20,"ROBBERY",49
2015-06-21,"BURGLARY",39
2015-06-21,"FELONY ASSAULT",61
2015-06-21,"GRAND LARCENY",114
2015-06-21,"GRAND LARCENY OF MOTOR VEHICLE",12
2015-06-21,"RAPE",5
2015-06-21,"ROBBERY",58
2015-06-22,"BURGLARY",40
2015-06-22,"FELONY ASSAULT",67
2015-06-22,"GRAND LARCENY",122
2015-06-22,"GRAND LARCENY OF MOTOR VEHICLE",19
2015-06-22,"MURDER & NON-NEGL. MANSLAUGHTE",1
2015-06-22,"RAPE",8
2015-06-22,"ROBBERY",47
2015-06-23,"BURGLARY",47
2015-06-23,"FELONY ASSAULT",86
2015-06-23,"GRAND LARCENY",112
2015-06-23,"GRAND LARCENY OF MOTOR VEHICLE",21
2015-06-23,"RAPE",2
2015-06-23,"ROBBERY",37
2015-06-24,"BURGLARY",43
2015-06-24,"FELONY ASSAULT",50
2015-06-24,"GRAND LARCENY",119
2015-06-24,"GRAND LARCENY OF MOTOR VEHICLE",22
2015-06-24,"RAPE",3
2015-06-24,"ROBBERY",48
2015-06-25,"BURGLARY",36
2015-06-25,"FELONY ASSAULT",54
2015-06-25,"GRAND LARCENY",124
2015-06-25,"GRAND LARCENY OF MOTOR VEHICLE",18
2015-06-25,"MURDER & NON-NEGL. MANSLAUGHTE",2
2015-06-25,"RAPE",1
2015-06-25,"ROBBERY",41
2015-06-26,"BURGLARY",57
2015-06-26,"FELONY ASSAULT",55
2015-06-26,"GRAND LARCENY",138
2015-06-26,"GRAND LARCENY OF MOTOR VEHICLE",21
2015-06-26,"RAPE",5
2015-06-26,"ROBBERY",48
2015-06-27,"BURGLARY",43
2015-06-27,"FELONY ASSAULT",74
2015-06-27,"GRAND LARCENY",121
2015-06-27,"GRAND LARCENY OF MOTOR VEHICLE",16
2015-06-27,"MURDER & NON-NEGL. MANSLAUGHTE",2
2015-06-27,"RAPE",1
2015-06-27,"ROBBERY",46
2015-06-28,"BURGLARY",32
2015-06-28,"FELONY ASSAULT",60
2015-06-28,"GRAND LARCENY",105
2015-06-28,"GRAND LARCENY OF MOTOR VEHICLE",11
2015-06-28,"MURDER & NON-NEGL. MANSLAUGHTE",1
2015-06-28,"RAPE",1
2015-06-28,"ROBBERY",36
2015-06-29,"BURGLARY",36
2015-06-29,"FELONY ASSAULT",59
2015-06-29,"GRAND LARCENY",119
2015-06-29,"GRAND LARCENY OF MOTOR VEHICLE",18
2015-06-29,"MURDER & NON-NEGL. MANSLAUGHTE",1
2015-06-29,"RAPE",3
2015-06-29,"ROBBERY",61
2015-06-30,"BURGLARY",56
2015-06-30,"FELONY ASSAULT",63
2015-06-30,"GRAND LARCENY",132
2015-06-30,"GRAND LARCENY OF MOTOR VEHICLE",21
2015-06-30,"MURDER & NON-NEGL. MANSLAUGHTE",1
2015-06-30,"RAPE",4
2015-06-30,"ROBBERY",34
2015-07-01,"BURGLARY",43
2015-07-01,"FELONY ASSAULT",61
2015-07-01,"GRAND LARCENY",147
2015-07-01,"GRAND LARCENY OF MOTOR VEHICLE",26
2015-07-01,"RAPE",7
2015-07-01,"ROBBERY",47
2015-07-02,"BURGLARY",45
2015-07-02,"FELONY ASSAULT",44
2015-07-02,"GRAND LARCENY",122
2015-07-02,"GRAND LARCENY OF MOTOR VEHICLE",24
2015-07-02,"MURDER & NON-NEGL. MANSLAUGHTE",1
2015-07-02,"RAPE",1
2015-07-02,"ROBBERY",45
2015-07-03,"BURGLARY",50
2015-07-03,"FELONY ASSAULT",70
2015-07-03,"GRAND LARCENY",118
2015-07-03,"GRAND LARCENY OF MOTOR VEHICLE",29
2015-07-03,"MURDER & NON-NEGL. MANSLAUGHTE",1
2015-07-03,"RAPE",5
2015-07-03,"ROBBERY",58
2015-07-04,"BURGLARY",30
2015-07-04,"FELONY ASSAULT",71
2015-07-04,"GRAND LARCENY",87
2015-07-04,"GRAND LARCENY OF MOTOR VEHICLE",20
