date,day_of_week,is_weekend,felonies,accidents,accident_injuriesDeaths,any_precip,temp_min_degF,temp_max_degF,windspeed_avg_mph,is_holiday,school_attendance_pct,is_school_day
5/22/15,Friday,0,288,727,171,0,55.04,73.94,6.039738,0,87.58,1
5/23/15,Saturday,1,286,545,137,0,48.92,69.98,4.47388,0,0,0
5/24/15,Sunday,1,277,432,127,0,55.94,80.96,3.802798,0,0,0
5/25/15,Monday,0,258,420,124,0,64.04,84.92,4.921268,1,0,0
5/26/15,Tuesday,0,310,686,147,0,66.92,87.98,5.144962,0,88.8,1
5/27/15,Wednesday,0,297,694,160,1,69.98,84.92,5.144962,0,90.2,1
5/28/15,Thursday,0,325,682,171,0,69.98,84.92,4.026492,0,90.41,1
5/29/15,Friday,0,333,812,216,0,64.94,84.92,4.026492,0,89.01,1
5/30/15,Saturday,1,312,620,183,0,66.92,84.92,5.59235,0,0,0
5/31/15,Sunday,1,275,555,177,1,57.02,87.08,5.59235,0,0,0
6/1/15,Monday,0,321,691,147,1,51.08,57.92,10.289924,0,88.37,1
6/2/15,Tuesday,0,261,642,159,1,50,55.04,6.263432,0,91.72,1
6/3/15,Wednesday,0,242,658,177,0,51.98,69.98,4.697574,0,89.12,1
6/4/15,Thursday,0,288,551,136,0,53.96,64.94,5.144962,0,93.45,1
6/5/15,Friday,0,277,691,150,1,55.04,69.98,2.908022,0,85.59,1
6/6/15,Saturday,1,301,598,177,1,60.08,75.92,4.697574,0,0,0
6/7/15,Sunday,1,248,557,164,0,55.04,73.94,3.802798,0,0,0
6/8/15,Monday,0,280,633,164,1,62.96,78.98,6.039738,0,88.56,1
6/9/15,Tuesday,0,293,651,142,1,68,82.94,4.921268,0,80.15,1
6/10/15,Wednesday,0,308,666,191,0,64.94,82.04,3.131716,0,90.3,1
6/11/15,Thursday,0,294,666,137,0,71.96,89.06,4.47388,0,89.49,1
6/12/15,Friday,0,265,450,115,0,73.04,87.98,4.47388,0,87.31,1
6/13/15,Saturday,1,275,394,122,0,71.96,86,5.368656,0,0,0
6/14/15,Sunday,1,271,576,160,1,66.02,87.98,2.684328,0,0,0
6/15/15,Monday,0,293,504,98,1,64.04,82.94,4.697574,0,74.63,1
6/16/15,Tuesday,0,275,593,145,1,64.94,78.98,2.23694,0,92.83,1
6/17/15,Wednesday,0,288,706,174,0,66.02,82.04,3.802798,0,92.55,1
6/18/15,Thursday,0,289,615,164,0,64.04,71.06,3.579104,0,90.58,1
6/19/15,Friday,0,310,731,141,0,68,87.08,3.802798,0,88.45,1
6/20/15,Saturday,1,295,504,161,0,64.04,75.02,5.368656,0,0,0
6/21/15,Sunday,1,289,620,192,1,71.06,87.98,4.47388,0,0,0
6/22/15,Monday,0,304,772,189,0,69.98,87.08,4.921268,0,86.33,1
6/23/15,Tuesday,0,305,702,168,1,75.02,89.96,5.816044,0,85.45,1
6/24/15,Wednesday,0,285,774,155,0,68,84.02,4.697574,0,83.69,1
6/25/15,Thursday,0,276,670,148,0,64.94,82.94,3.131716,0,82.1,1
6/26/15,Friday,0,324,773,191,0,69.08,80.96,4.47388,0,81.15,1
6/27/15,Saturday,1,303,593,155,1,57.92,71.06,7.381902,0,0,0
6/28/15,Sunday,1,246,535,157,1,62.06,73.04,5.368656,0,0,0
6/29/15,Monday,0,297,662,145,0,62.96,75.92,4.921268,0,0,0
6/30/15,Tuesday,0,311,620,148,1,68,82.04,4.921268,0,0,0
7/1/15,Wednesday,0,331,683,182,1,69.08,82.04,4.250186,0,0,0
7/2/15,Thursday,0,282,603,132,0,69.08,80.06,1.11847,0,0,0
7/3/15,Friday,0,331,549,145,0,66.02,82.04,2.908022,1,0,0
7/4/15,Saturday,1,262,389,130,0,69.08,75.02,3.35541,1,0,0
7/5/15,Sunday,1,291,467,127,0,68,82.94,1.565858,0,0,0
7/6/15,Monday,0,260,598,135,0,71.96,82.94,2.908022,0,0,0
7/7/15,Tuesday,0,309,644,175,1,75.02,87.98,4.921268,0,0,0
7/8/15,Wednesday,0,276,620,126,0,77,87.98,3.131716,0,0,0
7/9/15,Thursday,0,301,567,151,1,68,78.98,4.697574,0,0,0
7/10/15,Friday,0,273,709,188,0,71.96,84.02,4.697574,0,0,0
7/11/15,Saturday,1,315,596,152,0,69.08,87.98,2.460634,0,0,0
7/12/15,Sunday,1,336,521,150,0,71.96,89.06,2.013246,0,0,0
7/13/15,Monday,0,313,665,182,0,73.04,87.98,2.684328,0,0,0
7/14/15,Tuesday,0,281,656,139,1,73.04,82.04,2.684328,0,0,0
